Team,Payroll
Dodgers,262108948
Yankees,203628978
Mets,198818899
Phillies,192366818
Astros,189586134
R. Sox,187356913
Padres,184125634
Angels,182925936
Cardinals,168923070
Nationals,168252361
Giants,165869140
B. Jays,152261601
Cubs,152189618
Braves,148497447
W. Sox,141908402
Reds,131309602
Twins,125983176
Rockies,119908394
Brewers,105991594
Rangers,104310488
D-Backs,99951436
Royals,94475853
Mariners,93650276
A's,90402244
Tigers,86047409
Rays,76856333
Marlins,60877424
Orioles,59054021
Guardians,53010498
Pirates,50337389
